DTSTART	Weekday	SUMMARY	CLASS	Details
Jan 1	Sunday	Last day of Hanukkah	Jewish holiday	 
Jan 1	Sunday	New Year's Day	National Holiday	 
Jan 2	Monday	New Year's Day observed	National Holiday	 
Jan 6	Friday	Epiphany	Christian	 
Jan 7	Saturday	Orthodox Christmas Day	Orthodox	 
Jan 14	Saturday	Orthodox New Year	Orthodox	 
Jan 26	Thursday	Australia Day	National Holiday	 
Jan 28	Saturday	Chinese New Year	Observance	 
Feb 11	Saturday	Tu B'Shevat (Arbor Day)	Jewish holiday	 
Feb 13	Monday	Royal Hobart Regatta	State Holiday	Tasmania
Feb 14	Tuesday	Valentine's Day	Observance	 
Feb 28	Tuesday	Carnival/Shrove Tuesday	Christian	 
Mar 1	Wednesday	Ash Wednesday	Christian	 
Mar 6	Monday	Labour Day	Common State holiday	Western Australia
Mar 12	Sunday	Purim	Jewish holiday	 
Mar 13	Monday	Labour Day	Common State holiday	Victoria
Mar 13	Monday	Eight Hours Day	Common State holiday	Tasmania
Mar 13	Monday	Adelaide Cup	State Holiday	South Australia
Mar 13	Monday	Canberra Day	State Holiday	Australian Capital Territory
Mar 17	Friday	St Patrick's Day	Observance	 
Mar 20	Monday	March equinox	Season	 
Mar 21	Tuesday	Harmony Day	Observance	 
Apr 1	Saturday	Daylight Saving Time ends	Clock change/Daylight Saving Time	 
Apr 9	Sunday	Palm Sunday	Christian	 
Apr 11	Tuesday	First day of Passover	Jewish holiday	 
Apr 13	Thursday	Maundy Thursday	Christian	 
Apr 14	Friday	Orthodox Good Friday	Orthodox	 
Apr 14	Friday	Good Friday	National Holiday	 
Apr 15	Saturday	Orthodox Holy Saturday	Orthodox	 
Apr 15	Saturday	Holy Saturday	Common State holiday	All except Tas, WA
Apr 16	Sunday	Orthodox Easter	Orthodox	 
Apr 16	Sunday	Easter Day	Observance	All
Apr 16	Sunday	Easter Day	State Holiday	Australian Capital Territory, New South Wales
Apr 17	Monday	Orthodox Easter Monday	Orthodox	 
Apr 17	Monday	Easter Monday	National Holiday	 
Apr 18	Tuesday	Last day of Passover	Jewish holiday	 
Apr 18	Tuesday	Easter Tuesday	State Holiday	Tasmania
Apr 24	Monday	Yom HaShoah	Jewish holiday	 
Apr 24	Monday	Isra and Mi'raj	Muslim	 
Apr 25	Tuesday	ANZAC Day	National Holiday	All
May 1	Monday	May Day	Common State holiday	Northern Territory, Queensland
May 2	Tuesday	Yom HaAtzmaut	Jewish holiday	 
May 14	Sunday	Lag B'Omer	Jewish holiday	 
May 14	Sunday	Mother's Day	Observance	 
May 25	Thursday	Ascension Day	Christian	 
May 26	Friday	National Sorry Day	Observance	 
May 27	Saturday	Ramadan begins	Muslim	 
May 31	Wednesday	Shavuot	Jewish holiday	 
Jun 4	Sunday	Pentecost	Christian	 
Jun 5	Monday	Whit Monday	Christian	 
Jun 5	Monday	Western Australia Day	Common State holiday	Western Australia
Jun 6	Tuesday	Queensland Day	Local observance	 
Jun 11	Sunday	Trinity Sunday	Christian	 
Jun 12	Monday	Queen's Birthday	Common State holiday	All except Qld, WA
