DTSTART	Weekday	SUMMARY	CLASS	Details
Jan 1	Sunday	New Year's Day	Public Holiday
Mar 20	Monday	March equinox	Season
Apr 14	Friday	Good Friday	Public Holiday
Apr 17	Monday	Easter Monday	Public Holiday
Apr 25	Tuesday	ANZAC Day	Public Holiday
Jun 12	Monday	Queen's Birthday	Public Holiday
Jun 21	Wednesday	June Solstice	Season
Aug 4	Friday	Constitution Day	Public Holiday
Sep 22	Friday	September equinox	Season
Oct 26	Thursday	Gospel Day	Public Holiday
Dec 21	Thursday	December Solstice	Season
Dec 25	Monday	Christmas Day	Public Holiday
Dec 26	Tuesday	Boxing Day	Public Holiday
