DTSTART	Weekday	SUMMARY	CLASS	Details
Jan 1	Sunday	Last day of Hanukkah	Jewish holiday	 
Jan 1	Sunday	New Year's Day	National holiday	 
Jan 2	Monday	New Year's Day observed	National holiday	 
Jan 2	Monday	Day After New Year’s Day	Local holiday	Quebec
Jan 6	Friday	Epiphany	Observance, Christian	 
Jan 7	Saturday	Orthodox Christmas Day	Orthodox	 
Jan 14	Saturday	Orthodox New Year	Orthodox	 
Jan 28	Saturday	Chinese New Year	Observance	 
Feb 2	Thursday	Groundhog Day	Observance	 
Feb 11	Saturday	Tu B'Shevat (Arbor Day)	Jewish holiday	 
Feb 13	Monday	Family Day	Common Local holidays	British Columbia
Feb 14	Tuesday	Valentine's Day	Observance	 
Feb 15	Wednesday	National Flag of Canada Day	Observance	 
Feb 20	Monday	Islander Day	Common Local holidays	Prince Edward Island
Feb 20	Monday	Family Day	Common Local holidays	AB, ON, SK
Feb 20	Monday	Nova Scotia Heritage Day	Common Local holidays	Nova Scotia
Feb 20	Monday	Louis Riel Day	Common Local holidays	Manitoba
Feb 24	Friday	Yukon Heritage Day	Local holiday	Yukon
Feb 28	Tuesday	Carnival/Shrove Tuesday	Christian	 
Mar 1	Wednesday	Ash Wednesday	Christian	 
Mar 1	Wednesday	St David's Day	Observance	 
Mar 12	Sunday	Purim	Jewish holiday	 
Mar 12	Sunday	Daylight Saving Time starts	Clock change/Daylight Saving Time	 
Mar 13	Monday	Commonwealth Day	Observance	 
Mar 17	Friday	St. Patrick's Day	Observance	 
Mar 20	Monday	March equinox	Season	 
Mar 20	Monday	St. Patrick's Day	Local holiday	Newfoundland and Labrador
Apr 6	Thursday	National Tartan Day	Observance	 
Apr 9	Sunday	Palm Sunday	Christian	 
Apr 9	Sunday	Vimy Ridge Day	Observance	 
Apr 11	Tuesday	First day of Passover	Jewish holiday	 
Apr 13	Thursday	Maundy Thursday	Christian	 
Apr 14	Friday	Orthodox Good Friday	Orthodox	 
Apr 14	Friday	Good Friday	National holiday, Christian	 
Apr 15	Saturday	Holy Saturday	Christian	 
Apr 15	Saturday	Orthodox Holy Saturday	Orthodox	 
Apr 16	Sunday	Orthodox Easter	Orthodox	 
Apr 16	Sunday	Easter Sunday	Observance, Christian	 
Apr 17	Monday	Orthodox Easter Monday	Orthodox	 
Apr 17	Monday	Easter Monday	Common Local holidays	BC, NB, PE, QC, YT
Apr 17	Monday	Easter Monday	Observance	Alberta
Apr 18	Tuesday	Last day of Passover	Jewish holiday	 
Apr 24	Monday	Yom HaShoah	Jewish holiday	 
Apr 24	Monday	Isra and Mi'raj	Muslim	 
Apr 24	Monday	St. George's Day	Local holiday	Newfoundland and Labrador
May 2	Tuesday	Yom HaAtzmaut	Jewish holiday	 
May 14	Sunday	Lag B'Omer	Jewish holiday	 
May 14	Sunday	Mother's Day	Observance	 
May 22	Monday	Victoria Day	Common Local holidays	All except NS, NU, QC
May 22	Monday	National Patriots' Day	Local holiday	Quebec
May 25	Thursday	Ascension Day	Christian	 
May 27	Saturday	Ramadan begins	Muslim	 
