DTSTART	Weekday	SUMMARY	CLASS	Details
Jan 1	Sunday	Last Day of Chanukah	Jewish holiday	 
Jan 1	Sunday	New Year's Day	Federal Holiday	 
Jan 2	Monday	New Year's Day observed	Federal Holiday	 
Jan 6	Friday	Epiphany	Christian	 
Jan 7	Saturday	Orthodox Christmas Day	Orthodox	 
Jan 13	Friday	Lee Jackson Day	State holiday	Virginia
Jan 13	Friday	Stephen Foster Memorial Day	Observance	 
Jan 14	Saturday	Orthodox New Year	Orthodox	 
Jan 16	Monday	Martin Luther King Jr. Day	Federal Holiday	 
Jan 16	Monday	Robert E Lee's Birthday	State holiday	Alabama, Arkansas
Jan 16	Monday	State Holiday	State holiday	Mississippi
Jan 16	Monday	Idaho Human Rights Day	State holiday	Idaho
Jan 16	Monday	Civil Rights Day	State holiday	Arizona, New Hampshire
Jan 19	Thursday	Robert E Lee's Birthday	State holiday	Florida
Jan 19	Thursday	State Holiday	State holiday	Texas
Jan 20	Friday	Inauguration Day	State holiday	DC, LA, MD, VA
Jan 28	Saturday	Chinese New Year	Observance	 
Jan 29	Sunday	Kansas Day	Observance	 
Feb 1	Wednesday	National Freedom Day	Observance	 
Feb 2	Thursday	Groundhog Day	Observance	 
Feb 3	Friday	National Wear Red Day	Observance	 
Feb 4	Saturday	Rosa Parks Day	Local observance	California, Ohio
Feb 11	Saturday	Tu Bishvat/Tu B'Shevat	Jewish holiday	 
Feb 12	Sunday	Lincoln's Birthday	State holiday	CT, IL, MO, NY
Feb 12	Sunday	Lincoln's Birthday	Local observance	Florida
Feb 13	Monday	Lincoln's Birthday observed	State holiday	CT, IL, MO, NY
Feb 14	Tuesday	Valentine's Day	Observance	 
Feb 14	Tuesday	Statehood Day in Arizona	Local observance	Arizona
Feb 15	Wednesday	Susan B Anthony's Birthday	Local observance	CA, FL, NY, WI
Feb 16	Thursday	Elizabeth Peratrovich Day	Local observance	Alaska
Feb 20	Monday	Presidents' Day	Federal Holiday	 
Feb 20	Monday	Daisy Gatson Bates Day	State holiday	Arkansas
Feb 24	Friday	Maha Shivaratri	Hindu Holiday	 
Feb 28	Tuesday	Shrove Tuesday/Mardi Gras	Local observance	Florida
Feb 28	Tuesday	Shrove Tuesday/Mardi Gras	Observance	 
Feb 28	Tuesday	Shrove Tuesday/Mardi Gras	State holiday	Alabama, Louisiana
Feb 28	Tuesday	Linus Pauling Day	Local observance	Oregon
Mar 1	Wednesday	Ash Wednesday	Christian	 
Mar 1	Wednesday	St. David's Day	Observance	 
Mar 2	Thursday	Texas Independence Day	State holiday	Texas
Mar 2	Thursday	Read Across America Day	Observance	 
Mar 3	Friday	Employee Appreciation Day	Observance	 
Mar 6	Monday	Casimir Pulaski Day	State holiday	Illinois
Mar 7	Tuesday	Town Meeting Day Vermont	State holiday	 
Mar 12	Sunday	Holi	Hindu Holiday	 
Mar 12	Sunday	Purim	Jewish holiday	 
Mar 12	Sunday	Daylight Saving Time starts	Clock change/Daylight Saving Time	 
Mar 17	Friday	St. Patrick's Day	Observance	 
Mar 17	Friday	Evacuation Day	State holiday	Massachusetts
Mar 20	Monday	March equinox	Season	 
Mar 25	Saturday	Maryland Day	Local observance	Maryland
Mar 26	Sunday	Prince Jonah Kuhio Kalanianaole Day	State holiday	Hawaii
Mar 27	Monday	Prince Jonah Kuhio Kalanianaole Day observed	State holiday	Hawaii
Mar 27	Monday	Seward's Day	State holiday	Alaska
